name,price
"PC Ultra-Portable HP Envy 13-ad017nf 13.3""",879
"PC Hybride HP x2 10-p032nf 10.1"" Tactile",399
"MSI GT75VR 7RF Titan Pro -063FR Ordinateur Portable Hybride 17,3"" Noir (Intel Core i7, 16 Go de RAM, 1 To, GeForce GTX 1080/8 Go GDDR5X, Windows 10 Home)",2575
"PC Portable Acer Aspire ES1-533-P9CR 15.6""",320
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i7 16Go Ram 512 Go",2499
"HP EliteBook 1040 G3 - 14"" - Core i7 6600U - 16 Go RAM - 512 Go SSD",2695
"PC Hybride Asus ZenBook Flip S-7r8256-N2 13.3"" Tactile",1109
"PC Ultra-Portable Acer Switch 5 SW512-52P-58EN 12""",789
"PC Ultra-Portable Asus R407UB-BV089T 14""",569
"PC Portable Acer Predator Helios 300 PH317-52-519Y 17.3"" Gaming",1039
"PC Ultra-Portable HP Pavilion 14-bf013nf 14""",
"PC Ultra-Portable HP Envy 13-ad020nf 13.3""",1020
"PC Ultra-Portable Acer Aspire 1 A114-31-C27V 14""",219
"PC Portable Lenovo Legion Y520-15IKBN 80WK01CDFR 15.6""",899
"PC Ultra-Portable Asus R414UV-WX302T 14""",479
"PC Portable HP Omen 17-an022nf 17.3"" Gaming",1499
"PC Hybride HP Pavilion x360 14-ba023nf 14"" Tactile",879
"PC Ultra-Portable HP 14-bp016nf 14""",379
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i5 4Go Ram 128 Go",920
"PC Ultra-Portable Lenovo Yoga 720-13IKBR 81C3005FFR 13.3""",
"PC Hybride Microsoft Surface Go 10"" Tactile Intel Pentium Gold 8 Go RAM 128 Go SSD",599
"PC Ultra-Portable HP Pavilion 14-bf004nf 14""",879
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i7 8Go Ram 256 Go",1799
"PC Ultra-Portable HP Spectre 13-af011nf 13.3"" Tactile",1369
"PC Ultra-Portable Asus E203NA-FD026T 11.6""",199
"PC Portable Acer Aspire 3 A315-41-R8AV 15.6""",429
"PC Ultra-Portable HP Spectre x360 Convertible 13-ae018nf 13.3"" Tactile",
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i5 8 Go RAM 256 Go Bordeaux",1899
"PC Portable Acer Aspire 3 A315-51-327M 15.6""",469
"PC Portable Asus VivoBook N705UN-BX066T 17.3""",699
"PC Ultra-Portable Microsoft Surface Laptop 13.5"" Tactile Intel Core i5 8 Go RAM 256 Go Or Minéral",1899
"HP OMEN 15-ax246nf 15"" Full HD Noir (Intel Core i5, 6 Go de RAM, Disque Dur 1 To, Nvidia GeForce GTX 1050, Windows 10",668
"PC Portable Asus R541UV-DM1291T 15.6""",663
"PC Portable Acer Aspire E15 E5-576G-79K8 15.6""",679
"PC Hybride HP Envy x 360 15-bp101nf 15.6"" Tactile",1199
"PC Portable Acer Aspire 5 A517-51G-57LP 17.3""",639
"Acer Swift 3 SF314-52-5451 Ultrabook 14"" FHD Gris (Processeur Intel® Core™ i5, 8 Go de RAM, SSD 256 Go, Windows 10)",649
"PC Ultra-Portable HP 14-bw018nf 14""",449
"PC Ultra-Portable HP Pavilion 14-bf022nf 14""",639
