name,price
"PC Ultra-Portable HP Pavilion 14-ce0019nf 14""",
"PC Portable HP Omen 17-an128nf 17.3"" Gaming",
"PC Portable HP 17-by0132nf 17.3""",
"PC Portable HP Omen 15-dc0025nf 15.6"" Gaming",
"PC Portable HP 17-by0014nf 17.3""",
"PC Ultra-Portable HP Pavilion 14-ce0035nf 14""",
"PC Portable HP 15-db0021nf 15.6""",
"PC Portable HP 15-db0003nf 15.6""",
PC Portable HP 15-da0024nf 15.6”,
"PC Ultra-Portable HP 14-cm0007nf 14""",
"PC Ultra-Portable HP Envy 13-ah0008nf 13.3""",
"PC Hybride HP Pavilion x360 14-cd0029nf 14"" Tactile",
"PC Portable HP Pavilion 15-cw0006nf 15.6""",
"PC Portable HP Omen 15-dc0000nf 15.6"" Gaming",
PC Portable HP Pavilion 15-cs0005nf 15.6”,
"PC Ultra-Portable HP Stream 14-cb038nf 14""",
PC Portable Asus ZenBook Pro 15 UX580GE-E2048T 15.6” avec ScreenPad,2999
"PC Portable Asus ROG Griffin G703GS-E5007T 17.3""",
"PC Portable Asus ROG Zephyrus GX501GI-EI022T 15.6""",3364
"PC Hybride Asus VivoBook Flip TP412UA-EC072T 14"" Tactile",
"PC Portable Asus ROG Strix GL703VM-BA015T 17.3""",
"PC Ultra-Portable Asus ZenBook UX480FD-BE001T 14"" avec ScreenPad",
"PC Portable Asus R702UB-BX060T 17.3""",
"PC Portable Asus N705UF-GC074T 17.3""",
"PC Portable Asus R702UA-BX563T 17.3""",
"PC Portable Asus VivoBook Pro 17 R570ZD-DM126T 15.6""",
"PC Portable Asus R540UB-DM445T 15.6""",
"PC Portable Asus Vivobook S530UN-BQ155T 15.6""",
"PC Ultra-Portable Asus ZenBook UX331UAL-EG024T 13.3""",
"PC Ultra-Portable Asus E406MA-EB149T 14""",
"PC Portable Asus ROG Scar GL703GM-EE014T 17.3""",
"PC Ultra-Portable Asus ZenBook UX480FD-BE002T 14"" avec ScreenPad",
"PC Portable Asus TUF554GM-E4064T 15.6"" Gaming",
"PC Portable Asus N705UN-GC118T 17.3""",
"PC Portable Asus R702UB-BX052T 17.3""",
"PC Ultra-Portable Asus ZenBook UX480FD-BE010T 14"" avec ScreenPad",
"PC Portable Asus R540UB-DM446T 15.6""",
"PC Ultra-Portable Asus Vivobook S410UA-BV813T 14""",
"PC Portable Asus TUF504GD-DM588T 15.6"" Gaming",
"PC Portable HP 17-by0009nf 17.3""",
"PC Portable HP Pavilion 17-ab404nf 17.3""",
"PC Portable IdeaPad 330-15AST 81D6005FFR 15.6""",
"PC Ultra-Portable Lenovo Yoga 530-14IKB 81EK00K2FR 14""",
"PC Portable Lenovo Legion Y530-15ICH 81FV00LCFR 15.6""",
"PC Portable Lenovo IdeaPad 330-15ARR 81D2005QFR 15.6""",
"PC Portable IdeaPad 330-15AST 81D6005RFR 15.6""",
"PC Portable Lenovo IdeaPad 330-15ARR 81D2005KFR 15.6""",
"PC Portable Lenovo IdeaPad 330S-15IKB GTX1050 81GC0039FR 15.6""",
"PC Ultra-Portable Lenovo IdeaPad 330S-14AST 81F8001UFR 14""",
"PC Ultra-Portable Lenovo Yoga 330-11IGM 81A6003RFR 11.6""",
"PC Ultra-Portable Lenovo Yoga 530-14IKB 81EK00JSFR 14""",
"PC Ultra-Portable Lenovo Yoga 330-11IGM 81A60036FR 11.6""",
"PC Portable Lenovo IdeaPad 330S-15ARR 81FB007EFR 15.6""",
"PC Portable Lenovo Legion Y530-15ICH 81FV0095FR 15.6""",
"PC Portable Lenovo IdeaPad 330-15IKBR 81DE01BVFR 15.6""",
"PC Portable IdeaPad 330-15AST 81D6005PFR 15.6""",
"PC Portable Lenovo IdeaPad 330-17AST 81D7001AFR 17""",
"PC Portable MSI GV62 8RD-058FR 15.6""",949
"PC Portable MSI GV72 8RC-032FR 17.3"" Gaming",959
PC Portable MSI GE73 RAIDER RGB 8RE-267FR Gaming,1579
"PC Ultra-Portable Acer Swift 7SF714-51T-M2ST 14"" Tactile",1439
"PC Portable Acer Aspire 3 A315-31-P4D2 15.6""",429
"PC Portable Acer Predator Helios 300 PH317-52-7228 17.3"" Gaming",971
"PC Portable Asus ROG Griffin G703GI-E5126T 17.3""",4324
"PC Portable Asus N705UD-GC217T 17.3""",1279
PC Portable Asus ZenBook Pro 15 UX580GD-BN010T 15.6” avec ScreenPad,
"PC Portable Asus ROG Scar GL703GS-E5011T 17.3""",
"PC Portable Asus ROG Griffin G703GS-E5019T 17.3""",2439
"PC Portable Asus ROG SCAR-GL504GS-ES019T 15.6""",2029
"PC Ultra-Portable HP Spectre x360 Convertible 13-ae017nf 13.3"" Tactile",
"PC Portable HP Omen 15-ce044nf 15.6"" Gaming",
"PC Ultra-Portable Lenovo Yoga 720-13IKBR 81C300BUFR 13.3""",
"PC Portable Lenovo Legion Y520-15IKBN 80WK01GCFR 15,6""",679
"PC Portable Lenovo IdeaPad 320-15AST 80XV0115FR 15.6""",409
"PC Portable HP 15-bw011nf 15.6""",
"PC Portable HP Omen X 17-ap004nf 17.3"" Gaming",2939
"PC Portable HP Envy 17-ae102nf 17.3""",1199
"PC Portable HP Omen 17-an040nf 17.3"" Gaming",1279
"PC Portable Acer Predator Triton 700 PT715-51-76D4 15.6"" Gaming",2679
"PC Portable Acer Aspire 5 A517-51G-39MT 17.3 """,509
"PC Portable Acer Swift 3 SF315-51-39SF 15.6""",45690
"PC Portable HP Pavilion 15-cc521nf 15.6""",879
"PC Ultra-Portable HP Spectre 13-af005nf 13.3"" Tactile",2163
"PC Portable HP 17-bs077nf 17.3""",759
"PC Portable HP 17-bs069nf 17.3""",390
"PC Portable Asus R753UQ-T4483T 17.3""",719
"PC Portable Asus ROG Hero-GL503VM-GZ098T 15.6"" Gaming",1279
"PC Portable Asus ROG Strix 503VM-DM159T 15.6""",1109
"PC Portable Asus N705UF-GC044T 17.3""",
"PC Hybride Asus Zenbook-Flip-S-U7r16512-B écran 13.3"" UHD Tactile",1600
"PC Portable Acer Nitro 5 AN515-51-56EN 15.6"" Gaming",719
"PC Portable Acer Aspire 5 A515-51G-58KU 15.6""",639
"PC Portable Acer Predator Triton 700 PT715-51-709K 15.6"" Gaming",2439
"PC Portable Acer Predator Helios 300 G3-572-72Z8 15.6"" Gaming",1149
"PC Portable Acer Predator Triton 700 PT715-51-78D1 15.6"" Gaming",2999
"PC Portable Acer Predator 15 G9-593-77VQ 15.6"" Gaming",1349
"PC Portable Asus N705UD-GC104T 17.3""",
"PC Ultra-Portable HP Spectre x360 Convertible 13-ae004nf 13.3"" Tactile",
"PC Ultra-Portable HP 14-bp030nf 14""",639
"PC Ultra-Portable Asus ZenBook UX331UN-EG015T 13.3""",
"Pack Fnac PC Ultra-Portable Asus Vivobook S405UA-EB722T 14"" + Sacoche + Souris sans fil",
"PC Portable Asus FX503VM-DM020T 15.6"" Gaming",1199
"PC Portable Asus ROG Strix GL753VE-GC198T 17.3""",
"PC Portable HP Omen X 17-ap007nf 17.3"" Gaming",2439
"PC Ultra-Portable Asus X405UR-BV028T 14""",479
"PC Portable Asus GX501VS-GZ028T 15.6""",2698
"PC Portable Asus ROG GL502VS-GZ227T 15.6""",1789
"PC Portable HP 17-bs059nf 17.3""",831
"PC Portable Acer Aspire A715-71G-58TH 15.6""",680
"PC Ultra-Portable Asus VivoBook Flip TP410UA-EC247T 14""",1039
"PC Portable Asus FX753VD-GC167T 17.3""",
"PC Portable HP 15-bs033nf 15.6""",726
"PC Ultra-Portable ZenBook Flip-78256 13.3""",1199
PC Ultra-Portable Asus ZenBook Pro 90NX0152-M02980,1133
"PC Portable Asus ROG GX800VH-GY001T 18.4""",6499
"PC Portable Lenovo Ideapad 110-17ACL 17.3""",429
"PC Portable Toshiba Satellite Pro R50-C 15.6""",440
"PC Portable Toshiba Satellite Pro R50-C 15.6""",580
"PC Portable Lenovo Yoga 3 Pro 13.3""",1013
"PC Portable Lenovo Yoga 3 Pro 13.3""",908
Ordinateur portable Legion Y520 - i5 / 16Go / 256Go+1To / GTX1060,1464
Ordinateur portable IdeaPad 320-14IAP - Pentium / 1To / W10 / Noir,423
Ordinateur portable ThinkPad P51s - i7 / 256Go/ Quadro M520M,1699
Ordinateur portable ThinkPad P51 - i7 / 512Go/ Quadro M2200M,3059
Ordinateur portable ThinkPad P40 Yoga - i7 / 256Go / Quadro M500M / 4G,1996
Ordinateur portable Swift 1 SF114-32-P3BW - Pentium / 128Go / Gris,529
Ordinateur portable Swift 1 SF114-32-C2L8 - Celeron / 64Go / Gris,403
Ordinateur Portable Acer Aspire 3 - A4 / 4Go / 1To / Radeon 520,527
Ordinateur portable V320-17ISK - i3 / 4Go / 1To / GF920MX,584
Ordinateur portable 250 G6 - i3 / 4Go / 256Go / W10 Home,488
Ordinateur portable ThinkPad P51s - i7 / 512Go/ Quadro M520M,2061
Ordinateur portable V110-15AST - AMD A9 / 500Go / Noir,389
Ordinateur portable Swift 3 SF314-52-319M - i3 / 4Go / 256Go / Argent,622
Ordinateur portable Extensa 2540-35AX - i3 / 128Go / Noir,425
"Ordinateur portable NEO X - 13"" / Celeron / 32 Go / Win 10 / Noir",257
Ordinateur portable Ideapad 720S-14IKBR - i5 / 8Go / 256Go / Argent,1015
Ordinateur portable ThinkPad P71 - i7 / 8Go / 256Go / Quadro P3000M,2733
Ordinateur portable IdeaPad 510S-13IKB - i7 / 8Go / 256Go,927
Ordinateur portable ThinkPad P51 - i7 / 512Go/ Quadro M1200M,1874
Ordinateur portable Swift 1 SF114-32-C2NL - Celeron / 64Go / Or,403
Ordinateur portable Chromebook Spin 11 - Pentium / 32Go / Argent,405
Ordinateur portable Spin 1 SP111-31-C3VE - Celeron / 32Go / Bleu,306
"PC Ultra-Portable Thomson NEO12A-2WH32 11.6""",
